texto,urgente
raiz exposta devido à erosão,1
trabalho de capina realizado,0
plantações verdinhas e vigorosas,0
ciclo de crescimento no prazo,0
alta mortalidade de mudas transplantadas,1
clorose visível em diversas plantas,1
pragas atacando folhas jovens,1
início de apodrecimento de frutos,1
chuvas leves favoreceram o crescimento,0
doença fúngica identificada no trigo,1
plântulas crescendo de forma estável,0
fertilizante aplicado sem intercorrências,0
"pulverização falhou, pragas retornaram",1
inspeção semanal sem alterações,0
"quebra de irrigador, risco de perda",1
sistema de irrigação funcionando bem,0
infestação de pulgões em estágio avançado,1
monitoramento de temperatura normal,0
temperaturas extremas queimaram folhas,1
queda súbita de umidade no solo,1
medição de pH dentro da normalidade,0
solo encharcado após chuvas intensas,1
umidade dentro do esperado,0
colheita parcial programada para amanhã,0
sem sinais de pragas no campo,0
clima favorável nesta semana,0
granizo danificou folhas de milho,1
fases de floração iniciadas,0
manchas escuras surgindo nas folhas,1
controle de pragas preventivo aplicado,0
seca prolongada afetando a lavoura,1
plantações se desenvolvendo normalmente,0
adubação realizada conforme cronograma,0
aparecimento de lagartas nas plantações,1
vento forte derrubou várias mudas,1
anotações de colheita regulares,0
poda leve feita em algumas plantas,0
crescimento de fungos nas raízes,1
infestação de percevejos no feijão,1
irrigação falhou durante a noite,1
